"year" "source" "base" "ID" "rep" "replacement_condition"
2001 "chicken" "I" 4 1 TRUE
2005 "chicken" "I" 3 1 TRUE
2006 "chicken" "I" 3 1 TRUE
2007 "chicken" "I" 2 1 TRUE
2008 "chicken" "I" 4 1 TRUE
2011 "chicken" "I" 5 1 TRUE
2012 "chicken" "I" 3 1 TRUE
2013 "chicken" "I" 4 1 TRUE
2014 "chicken" "I" 1 1 TRUE
2015 "chicken" "I" 4 1 TRUE
2016 "chicken" "I" 5 1 TRUE
2017 "chicken" "I" 6 1 TRUE
2018 "chicken" "I" 8 1 TRUE
1997 "human_stool" "I" 1 1 TRUE
2001 "human_stool" "I" 2 1 TRUE
2003 "human_stool" "I" 2 1 TRUE
2004 "human_stool" "I" 2 1 TRUE
2005 "human_stool" "I" 2 1 TRUE
2006 "human_stool" "I" 5 1 TRUE
2007 "human_stool" "I" 5 1 TRUE
2009 "human_stool" "I" 2 1 TRUE
2010 "human_stool" "I" 3 1 TRUE
2011 "human_stool" "I" 4 1 TRUE
2012 "human_stool" "I" 5 1 TRUE
2013 "human_stool" "I" 4 1 TRUE
2014 "human_stool" "I" 4 1 TRUE
2015 "human_stool" "I" 4 1 TRUE
2016 "human_stool" "I" 8 1 TRUE
2017 "human_stool" "I" 5 1 TRUE
2018 "human_stool" "I" 4 1 TRUE
2001 "chicken" "T" 6 1 TRUE
2004 "chicken" "T" 10 1 TRUE
2005 "chicken" "T" 7 1 TRUE
2006 "chicken" "T" 7 1 TRUE
2007 "chicken" "T" 8 1 TRUE
2008 "chicken" "T" 6 1 TRUE
2009 "chicken" "T" 10 1 TRUE
2011 "chicken" "T" 5 1 TRUE
2012 "chicken" "T" 7 1 TRUE
2013 "chicken" "T" 6 1 TRUE
2014 "chicken" "T" 9 1 TRUE
2015 "chicken" "T" 6 1 TRUE
2016 "chicken" "T" 5 1 TRUE
2017 "chicken" "T" 4 1 TRUE
2018 "chicken" "T" 2 1 TRUE
1997 "human_stool" "T" 9 1 TRUE
1998 "human_stool" "T" 10 1 TRUE
2001 "human_stool" "T" 8 1 TRUE
2003 "human_stool" "T" 8 1 TRUE
2004 "human_stool" "T" 8 1 TRUE
2005 "human_stool" "T" 8 1 TRUE
2006 "human_stool" "T" 5 1 TRUE
2007 "human_stool" "T" 5 1 TRUE
2009 "human_stool" "T" 8 1 TRUE
2010 "human_stool" "T" 7 1 TRUE
2011 "human_stool" "T" 6 1 TRUE
2012 "human_stool" "T" 5 1 TRUE
2013 "human_stool" "T" 6 1 TRUE
2014 "human_stool" "T" 6 1 TRUE
2015 "human_stool" "T" 6 1 TRUE
2016 "human_stool" "T" 2 1 TRUE
2017 "human_stool" "T" 5 1 TRUE
2018 "human_stool" "T" 6 1 TRUE
2005 "chicken" "I" 5 2 TRUE
2006 "chicken" "I" 1 2 TRUE
2007 "chicken" "I" 2 2 TRUE
2008 "chicken" "I" 2 2 TRUE
2011 "chicken" "I" 4 2 TRUE
2013 "chicken" "I" 3 2 TRUE
2014 "chicken" "I" 2 2 TRUE
2015 "chicken" "I" 1 2 TRUE
2016 "chicken" "I" 3 2 TRUE
2017 "chicken" "I" 4 2 TRUE
2018 "chicken" "I" 6 2 TRUE
2001 "human_stool" "I" 6 2 TRUE
2003 "human_stool" "I" 1 2 TRUE
2004 "human_stool" "I" 4 2 TRUE
2005 "human_stool" "I" 1 2 TRUE
2006 "human_stool" "I" 7 2 TRUE
2007 "human_stool" "I" 4 2 TRUE
2009 "human_stool" "I" 5 2 TRUE
2010 "human_stool" "I" 6 2 TRUE
2011 "human_stool" "I" 2 2 TRUE
2012 "human_stool" "I" 5 2 TRUE
2013 "human_stool" "I" 4 2 TRUE
2014 "human_stool" "I" 3 2 TRUE
2015 "human_stool" "I" 3 2 TRUE
2016 "human_stool" "I" 1 2 TRUE
2017 "human_stool" "I" 6 2 TRUE
2018 "human_stool" "I" 4 2 TRUE
2001 "chicken" "T" 10 2 TRUE
2004 "chicken" "T" 10 2 TRUE
2005 "chicken" "T" 5 2 TRUE
2006 "chicken" "T" 9 2 TRUE
2007 "chicken" "T" 8 2 TRUE
2008 "chicken" "T" 8 2 TRUE
2009 "chicken" "T" 10 2 TRUE
2011 "chicken" "T" 6 2 TRUE
2012 "chicken" "T" 10 2 TRUE
2013 "chicken" "T" 7 2 TRUE
2014 "chicken" "T" 8 2 TRUE
2015 "chicken" "T" 9 2 TRUE
2016 "chicken" "T" 7 2 TRUE
2017 "chicken" "T" 6 2 TRUE
2018 "chicken" "T" 4 2 TRUE
1997 "human_stool" "T" 10 2 TRUE
1998 "human_stool" "T" 10 2 TRUE
2001 "human_stool" "T" 4 2 TRUE
2003 "human_stool" "T" 9 2 TRUE
2004 "human_stool" "T" 6 2 TRUE
2005 "human_stool" "T" 9 2 TRUE
2006 "human_stool" "T" 3 2 TRUE
2007 "human_stool" "T" 6 2 TRUE
2009 "human_stool" "T" 5 2 TRUE
2010 "human_stool" "T" 4 2 TRUE
2011 "human_stool" "T" 8 2 TRUE
